Datum;Pocet.potvrdenych.PCR.testami;Dennych.PCR.testov;Dennych.PCR.prirastkov;Pocet.umrti;AgTests;AgPosit;Pocet.hospitalizovanych
10.03.2021;331571;10643;1978;8244;160475;1976;3640
11.03.2021;333872;11176;2301;8346;178899;1861;3620
12.03.2021;336235;14496;2363;8440;351095;2389;3492
13.03.2021;337503;7149;1268;8528;775230;3435;3565
14.03.2021;337960;2780;457;8605;350347;1845;3711
15.03.2021;339538;9820;1578;8669;223078;2233;3608
16.03.2021;342430;14601;2892;8738;177043;1829;3549
17.03.2021;344470;11088;2040;8814;157668;1551;3526
18.03.2021;346149;9672;1679;8894;181075;1615;3475
19.03.2021;347944;13293;1795;8978;346016;2034;3272
20.03.2021;348869;5896;925;9044;748433;2691;3366
21.03.2021;349270;3861;401;9104;357396;1565;3459
22.03.2021;350551;10875;1281;9190;222940;1771;3395
23.03.2021;352528;11378;1977;9261;172550;1516;3373
24.03.2021;354182;10111;1654;9313;151275;1407;3335
25.03.2021;355454;9079;1272;9373;183536;1364;3334
26.03.2021;356985;12389;1531;9426;351959;1664;3242
27.03.2021;357910;7087;925;9496;731468;2203;3275
28.03.2021;358115;2298;205;9542;353571;1305;3341
29.03.2021;359330;8705;1215;9624;220268;1479;2943
30.03.2021;361185;11407;1855;9719;178272;1210;2881
31.03.2021;362489;8654;1304;9790;222306;1242;2691
01.04.2021;363874;12869;1385;9877;309627;1243;2493
02.04.2021;364622;6296;748;9948;166076;623;2554
03.04.2021;365242;4421;620;10025;753791;1956;2592
04.04.2021;365400;1831;158;10094;166408;549;2653
05.04.2021;365733;3145;333;10156;107978;639;2720
06.04.2021;366894;10707;1161;10243;300863;1479;2633
07.04.2021;368470;11881;1576;10322;200833;968;2469
08.04.2021;369393;9003;923;10411;150086;806;2365
09.04.2021;370473;11753;1080;10487;273279;937;2216
10.04.2021;371062;7470;589;10565;723339;1392;2258
11.04.2021;371168;1502;106;10630;353975;735;2298
12.04.2021;372038;8275;870;10716;225128;914;2180
13.04.2021;373107;8593;1069;10798;175109;693;2091
14.04.2021;373950;7312;843;10877;171775;680;1972
15.04.2021;374586;7662;636;10970;158575;674;1889
16.04.2021;375336;13377;750;11043;306114;836;1762
17.04.2021;375974;17057;638;11106;709210;1007;1795
18.04.2021;376067;1434;93;11172;365105;635;1826
19.04.2021;376709;7959;642;11244;225645;828;1716
20.04.2021;377473;7429;764;11304;177050;647;1614
21.04.2021;378150;6796;677;11357;149979;658;1555
22.04.2021;378635;6563;485;11405;149324;563;1508
23.04.2021;379476;14312;841;11458;309113;695;1432
24.04.2021;379911;30594;435;11495;674342;934;1472
25.04.2021;380010;10622;99;11531;344745;593;1498
26.04.2021;380498;8285;488;11572;202735;702;1403
27.04.2021;381180;7508;682;11611;149736;510;1356
28.04.2021;381744;6557;564;11647;139370;502;1290
29.04.2021;382211;9012;467;11684;153619;536;1258
30.04.2021;382720;8431;509;11732;299017;646;1179
01.05.2021;383098;34967;378;11766;440513;638;1198
02.05.2021;383228;12176;130;11807;266819;497;1224
03.05.2021;383609;7225;381;11855;138317;549;1175
04.05.2021;384317;8020;708;11886;107850;382;1129
05.05.2021;384660;6268;343;11920;90698;372;1070
06.05.2021;385022;6995;362;11946;102749;389;1015
07.05.2021;385395;12132;373;11990;178970;459;979
08.05.2021;385475;3666;80;12019;175758;272;1000
09.05.2021;385786;5418;311;12051;171483;400;1030
10.05.2021;386136;7995;350;12077;122926;434;948
11.05.2021;386540;6776;404;12096;87475;269;889
12.05.2021;386868;4968;328;12135;79516;279;849
13.05.2021;387162;7092;294;12168;83682;266;804
14.05.2021;387420;6728;258;12203;145560;353;752
15.05.2021;387523;2738;103;12224;167502;272;760
16.05.2021;387659;3154;136;12238;121829;250;778
17.05.2021;387892;7276;233;12248;89496;318;740
18.05.2021;388138;5836;246;12262;73950;226;695
19.05.2021;388391;5597;253;12272;68550;202;630
20.05.2021;388529;4004;138;12280;70769;172;603
21.05.2021;388719;5671;190;12286;107096;208;559
22.05.2021;388835;4122;116;12292;104394;192;558
23.05.2021;388854;1167;19;12296;84541;189;563
24.05.2021;388986;6612;132;12301;86970;264;516
25.05.2021;389176;6155;190;12312;67176;207;476
26.05.2021;389344;4977;168;12320;61791;142;446
27.05.2021;389440;4182;96;12333;60204;157;428
28.05.2021;389588;5589;148;12335;91773;170;376
29.05.2021;389690;2995;102;12339;87487;120;385
30.05.2021;389721;1309;31;12343;74598;126;379
31.05.2021;389866;7086;145;12353;70392;210;355
01.06.2021;389990;5256;124;12366;52785;134;343
02.06.2021;390129;5266;139;12375;50891;119;321
03.06.2021;390223;5340;94;12382;50485;133;317
04.06.2021;390340;5548;117;12395;79413;135;284
05.06.2021;390436;2780;96;12404;71511;74;298
06.06.2021;390451;981;15;12414;59847;87;306
07.06.2021;390546;5776;95;12423;58627;148;287
08.06.2021;390693;5937;147;12430;45323;94;266
09.06.2021;390809;4518;116;12433;43806;50;253
10.06.2021;390893;4302;84;12433;46683;72;241
11.06.2021;390984;5863;91;12436;73943;84;232
12.06.2021;391026;2516;42;12439;61930;57;242
13.06.2021;391038;1093;12;12441;51057;57;256
14.06.2021;391087;6014;49;12446;52641;78;233
15.06.2021;391149;4234;62;12456;41864;47;214
16.06.2021;391210;4372;61;12464;41165;39;207
17.06.2021;391248;3794;38;12478;43642;43;199
18.06.2021;391297;5671;49;12486;67037;54;197
19.06.2021;391325;2537;28;12492;52309;23;203
20.06.2021;391326;896;1;12496;40050;41;205
21.06.2021;391385;6071;59;12502;46053;59;184
22.06.2021;391420;4377;35;12502;36800;30;185
23.06.2021;391456;4208;36;12502;37459;31;182
24.06.2021;391490;3359;34;12505;37334;36;171
25.06.2021;391531;5685;41;12505;55285;34;160
